gene ID,gene name,Subject sequence ID,% of identical matches,Alignment length,Mistmatches,Gap openings,Start of alignment query,End of alignment query,Start of alignment subject ,End of alignment subject,E-value,Bit score,Protein annotations
gene2738,LOC106910736,sp|Q76I76|SSH2_HUMAN,54.62,130,16,1,13493,13882,157,243,4.00E-73,145,Protein phosphatase Slingshot homolog 2 OS=Homo sapiens GN=SSH2 PE=1 SV=1
gene27380,spata2l,sp|Q8IUW3|SPA2L_HUMAN,40,105,57,4,2096,2401,1,102,3.00E-07,54.7,Spermatogenesis-associated protein 2-like protein OS=Homo sapiens GN=SPATA2L PE=2 SV=1
gene27382,pdf,sp|Q9HBH1|DEFM_HUMAN,52.32,151,72,0,874,1326,46,196,2.00E-38,143,"Peptide deformylase, mitochondrial OS=Homo sapiens GN=PDF PE=1 SV=1"
gene27384,tat,sp|P17735|ATTY_HUMAN,48.6,107,28,1,8792,9112,364,443,8.00E-22,101,Tyrosine aminotransferase OS=Homo sapiens GN=TAT PE=1 SV=1
gene27385,LOC106909216,sp|P17516|AK1C4_HUMAN,42.59,108,37,1,862,1185,41,123,4.00E-12,70.1,Aldo-keto reductase family 1 member C4 OS=Homo sapiens GN=AKR1C4 PE=1 SV=3
gene27388,rufy2,sp|Q8WXA3|RUFY2_HUMAN,91.38,58,5,0,9010,9183,51,108,1.00E-25,117,RUN and FYVE domain-containing protein 2 OS=Homo sapiens GN=RUFY2 PE=1 SV=2
gene27389,LOC106909221,sp|P49796|RGS3_HUMAN,42.31,104,60,0,247,558,705,808,9.00E-08,53.5,Regulator of G-protein signaling 3 OS=Homo sapiens GN=RGS3 PE=1 SV=2
gene2739,coro6,sp|Q6QEF8|CORO6_HUMAN,81.16,69,13,0,4817,5023,1,69,6.00E-29,124,Coronin-6 OS=Homo sapiens GN=CORO6 PE=1 SV=2
gene27390,LOC106909224,sp|Q9NYT6|ZN226_HUMAN,46.1,423,225,2,1689,2954,357,777,5.00E-115,382,Zinc finger protein 226 OS=Homo sapiens GN=ZNF226 PE=2 SV=2
gene27391,LOC106909226,sp|Q7RTR2|NLRC3_HUMAN,32.07,552,298,21,5480,7045,139,643,4.00E-64,241,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2
gene27393,LOC106909228,sp|Q5BKX8|MURC_HUMAN,52.25,111,53,0,258,590,33,143,1.00E-25,110,Muscle-related coiled-coil protein OS=Homo sapiens GN=MURC PE=1 SV=2
gene27394,LOC106909225,sp|Q8IYR6|TEFF1_HUMAN,40.83,120,33,1,24,383,66,147,2.00E-21,99.4,Tomoregulin-1 OS=Homo sapiens GN=TMEFF1 PE=1 SV=1
gene27396,egr2,sp|P11161|EGR2_HUMAN,61.3,385,117,10,1286,2374,54,428,1.00E-122,384,E3 SUMO-protein ligase EGR2 OS=Homo sapiens GN=EGR2 PE=1 SV=3
gene27397,LOC106909231,sp|Q96SZ5|AEDO_HUMAN,54.25,153,55,3,2307,2738,122,268,1.00E-39,148,2-aminoethanethiol dioxygenase OS=Homo sapiens GN=ADO PE=1 SV=2
gene27398,LOC106909233,sp|Q92637|FCGRB_HUMAN,39.47,76,37,3,16985,17194,17,89,9.00E-06,51.2,High affinity immunoglobulin gamma Fc receptor IB OS=Homo sapiens GN=FCGR1B PE=2 SV=1
gene274,LOC106910184,sp|O75445|USH2A_HUMAN,47.97,123,63,1,198577,198945,4210,4331,1.00E-53,125,Usherin OS=Homo sapiens GN=USH2A PE=1 SV=3
gene2740,LOC106910751,sp|Q9Y334|VWA7_HUMAN,33.93,112,38,4,1543,1878,167,242,2.00E-14,53.1,von Willebrand factor A domain-containing protein 7 OS=Homo sapiens GN=VWA7 PE=2 SV=4
gene27400,LOC106909235,sp|O00370|LORF2_HUMAN,29.19,298,206,4,15541,16428,227,521,4.00E-108,139,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1
gene27403,LOC106909238,sp|Q16643|DREB_HUMAN,63.16,38,14,0,1934,2047,49,86,1.00E-08,60.1,Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4
gene27404,LOC106909240,sp|Q969F9|HPS3_HUMAN,60,60,24,0,7357,7536,328,387,4.00E-20,70.9,Hermansky-Pudlak syndrome 3 protein OS=Homo sapiens GN=HPS3 PE=1 SV=1
gene27406,mtif3,sp|Q9H2K0|IF3M_HUMAN,44.44,108,54,2,1080,1403,54,155,9.00E-13,70.1,"Translation initiation factor IF-3, mitochondrial OS=Homo sapiens GN=MTIF3 PE=1 SV=4"
gene27407,heca,sp|Q9UBI9|HDC_HUMAN,55.92,338,103,9,4015,5025,90,382,4.00E-91,309,Headcase protein homolog OS=Homo sapiens GN=HECA PE=1 SV=1
gene27408,abracl,sp|Q9P1F3|ABRAL_HUMAN,80,55,11,0,4966,5130,27,81,3.00E-23,95.5,Costars family protein ABRACL OS=Homo sapiens GN=ABRACL PE=1 SV=1
gene27409,reps1,sp|Q96D71|REPS1_HUMAN,64.1,117,12,1,12125,12475,304,390,3.00E-32,138,RalBP1-associated Eps domain-containing protein 1 OS=Homo sapiens GN=REPS1 PE=1 SV=3
gene2741,LOC106910829,sp|Q9Y334|VWA7_HUMAN,43.33,60,34,0,3036,3215,304,363,1.00E-13,60.1,von Willebrand factor A domain-containing protein 7 OS=Homo sapiens GN=VWA7 PE=2 SV=4
gene27411,e2f1,sp|Q01094|E2F1_HUMAN,84.72,72,11,0,12729,12944,120,191,9.00E-35,131,Transcription factor E2F1 OS=Homo sapiens GN=E2F1 PE=1 SV=1
gene27412,LOC106909246,sp|Q9BYN7|ZN341_HUMAN,55.2,125,14,1,9297,9671,572,654,1.00E-31,136,Zinc finger protein 341 OS=Homo sapiens GN=ZNF341 PE=1 SV=2
gene27413,LOC106909247,sp|Q96J02|ITCH_HUMAN,91.38,58,5,0,800,973,593,650,3.00E-45,113,E3 ubiquitin-protein ligase Itchy homolog OS=Homo sapiens GN=ITCH PE=1 SV=2
gene27414,LOC106909250,sp|Q9HAU0|PKHA5_HUMAN,67.78,90,24,1,12918,13187,432,516,3.00E-29,130,Pleckstrin homology domain-containing family A member 5 OS=Homo sapiens GN=PLEKHA5 PE=1 SV=1
gene27415,LOC106909251,sp|Q99497|PARK7_HUMAN,76.92,52,12,0,6386,6541,138,189,3.00E-18,84.7,Protein deglycase DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2
gene27417,LOC106909254,sp|Q5VUA4|ZN318_HUMAN,56.98,86,35,1,11235,11492,924,1007,3.00E-17,90.1,Zinc finger protein 318 OS=Homo sapiens GN=ZNF318 PE=1 SV=2
gene27419,LOC106909255,sp|Q8IWT3|CUL9_HUMAN,85.96,57,8,0,5454,5624,2195,2251,4.00E-52,111,Cullin-9 OS=Homo sapiens GN=CUL9 PE=1 SV=2
gene2742,LOC106910808,sp|Q9Y334|VWA7_HUMAN,50,38,19,0,7108,7221,364,401,1.00E-10,45.1,von Willebrand factor A domain-containing protein 7 OS=Homo sapiens GN=VWA7 PE=2 SV=4
gene27420,LOC106909256,sp|Q5R3K3|FA26F_HUMAN,48.91,184,78,8,500,1027,1,176,1.00E-31,127,Protein FAM26F OS=Homo sapiens GN=FAM26F PE=2 SV=1
gene27421,LOC106909257,sp|Q8N5C1|FA26E_HUMAN,52.75,182,85,1,367,912,1,181,8.00E-59,201,Protein FAM26E OS=Homo sapiens GN=FAM26E PE=2 SV=1
gene27422,cnot10,sp|Q9H9A5|CNO10_HUMAN,43.32,187,38,4,5982,6542,288,406,1.00E-31,135,CCR4-NOT transcription complex subunit 10 OS=Homo sapiens GN=CNOT10 PE=1 SV=1
gene27423,tcaim,sp|Q8N3R3|TCAIM_HUMAN,55.41,74,33,0,21151,21372,418,491,2.00E-20,99,"T-cell activation inhibitor, mitochondrial OS=Homo sapiens GN=TCAIM PE=2 SV=2"
gene27424,LOC106909260,sp|Q3KQZ1|S2535_HUMAN,58.72,172,45,2,173,685,1,147,1.00E-55,177,Solute carrier family 25 member 35 OS=Homo sapiens GN=SLC25A35 PE=2 SV=1
gene27425,LOC106909264,sp|Q15835|RK_HUMAN,51.61,217,105,0,3272,3922,1,217,5.00E-59,215,Rhodopsin kinase OS=Homo sapiens GN=GRK1 PE=1 SV=1
gene27426,LOC106909262,sp|P56746|CLD15_HUMAN,61.64,73,28,0,2175,2393,1,73,2.00E-22,98.2,Claudin-15 OS=Homo sapiens GN=CLDN15 PE=1 SV=1
gene27427,LOC106909263,sp|Q96F10|SAT2_HUMAN,47.37,57,30,0,1766,1936,114,170,3.00E-10,59.7,Diamine acetyltransferase 2 OS=Homo sapiens GN=SAT2 PE=1 SV=1
gene27428,LOC106909261,sp|P49848|TAF6_HUMAN,73.75,80,21,0,2184,2423,282,361,2.00E-28,123,Transcription initiation factor TFIID subunit 6 OS=Homo sapiens GN=TAF6 PE=1 SV=1
gene2743,LOC106910820,sp|Q9Y334|VWA7_HUMAN,35.71,182,77,4,1920,2456,240,384,1.00E-15,83.2,von Willebrand factor A domain-containing protein 7 OS=Homo sapiens GN=VWA7 PE=2 SV=4
gene27431,LOC106909267,sp|Q13224|NMDE2_HUMAN,45.19,779,253,33,33294,35570,860,1484,5.00E-132,457,"Glutamate receptor ionotropic, NMDA 2B OS=Homo sapiens GN=GRIN2B PE=1 SV=3"
gene27432,strap,sp|Q9Y3F4|STRAP_HUMAN,96,50,2,0,9659,9808,259,308,2.00E-24,108,Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1
gene27433,LOC106909272,sp|P13807|GYS1_HUMAN,60.98,41,14,2,2145,2267,1,39,2.00E-04,47.4,"Glycogen [starch] synthase, muscle OS=Homo sapiens GN=GYS1 PE=1 SV=2"
gene27435,LOC106909270,sp|P54840|GYS2_HUMAN,83.33,66,11,0,14353,14550,101,166,1.00E-28,126,"Glycogen [starch] synthase, liver OS=Homo sapiens GN=GYS2 PE=1 SV=2"
gene27438,LOC106909275,sp|Q8N328|PGBD3_HUMAN,29.51,488,293,16,13140,14558,141,592,4.00E-47,181,PiggyBac transposable element-derived protein 3 OS=Homo sapiens GN=PGBD3 PE=2 SV=3
gene27439,LOC106909274,sp|Q8N328|PGBD3_HUMAN,29.51,488,293,16,15143,16561,141,592,9.00E-47,181,PiggyBac transposable element-derived protein 3 OS=Homo sapiens GN=PGBD3 PE=2 SV=3
gene2744,abhd15,sp|Q6UXT9|ABH15_HUMAN,36.25,240,87,8,3483,4199,294,468,1.00E-34,139,Abhydrolase domain-containing protein 15 OS=Homo sapiens GN=ABHD15 PE=2 SV=2
gene27440,npr3,sp|A6NKG5|RTL1_HUMAN,27.67,206,142,2,37149,37745,702,907,1.00E-16,89.7,Retrotransposon-like protein 1 OS=Homo sapiens GN=RTL1 PE=3 SV=3
gene27442,LOC106909278,sp|Q96JQ0|PCD16_HUMAN,50.76,855,369,15,24695,27169,2450,3282,1.00E-99,683,Protocadherin-16 OS=Homo sapiens GN=DCHS1 PE=1 SV=1
gene27443,LOC106909280,sp|Q7Z3K3|POGZ_HUMAN,36.93,306,177,8,2477,3373,973,1269,6.00E-43,172,Pogo transposable element with ZNF domain OS=Homo sapiens GN=POGZ PE=1 SV=2
gene27444,selenbp1,sp|Q13228|SBP1_HUMAN,75.36,69,17,0,4920,5126,53,121,8.00E-28,121,Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1 PE=1 SV=2
gene27445,LOC106909281,sp|Q2TB18|ASTE1_HUMAN,36.88,282,162,8,16,831,39,314,2.00E-40,160,Protein asteroid homolog 1 OS=Homo sapiens GN=ASTE1 PE=1 SV=1
gene27446,rnf123,sp|Q86WK7|AMGO3_HUMAN,45.64,447,224,9,48396,49715,34,468,2.00E-88,301,Amphoterin-induced protein 3 OS=Homo sapiens GN=AMIGO3 PE=2 SV=1
gene27447,LOC106909284,sp|Q86WK7|AMGO3_HUMAN,45.64,447,224,9,113,1432,34,468,4.00E-90,301,Amphoterin-induced protein 3 OS=Homo sapiens GN=AMIGO3 PE=2 SV=1
gene27448,LOC106909285,sp|O75882|ATRN_HUMAN,60.98,41,16,0,145,267,1350,1390,2.00E-08,62.8,Attractin OS=Homo sapiens GN=ATRN PE=1 SV=2
gene27449,LOC106909287,sp|P28222|5HT1B_HUMAN,73.49,347,86,5,337,1368,45,388,2.00E-158,467,5-hydroxytryptamine receptor 1B OS=Homo sapiens GN=HTR1B PE=1 SV=1
gene2745,taok1,sp|Q7L7X3|TAOK1_HUMAN,73.65,148,13,1,17333,17776,595,716,2.00E-137,146,Serine/threonine-protein kinase TAO1 OS=Homo sapiens GN=TAOK1 PE=1 SV=1
gene27451,LOC106909293,sp|P17081|RHOQ_HUMAN,80,65,13,0,30074,30268,61,125,2.00E-28,117,Rho-related GTP-binding protein RhoQ OS=Homo sapiens GN=RHOQ PE=1 SV=2
gene27452,LOC106909288,sp|Q6RFH8|DUX4C_HUMAN,50,44,21,1,1444,1575,32,74,6.00E-06,49.7,Double homeobox protein 4C OS=Homo sapiens GN=DUX4L9 PE=1 SV=1
gene27454,LOC106909290,sp|Q9GZT4|SRR_HUMAN,37.29,59,36,1,6867,7043,149,206,1.00E-03,44.7,Serine racemase OS=Homo sapiens GN=SRR PE=1 SV=1
gene27455,LOC106909291,sp|Q86UP6|CUZD1_HUMAN,36.36,66,36,1,3417,3614,494,553,3.00E-04,45.4,CUB and zona pellucida-like domain-containing protein 1 OS=Homo sapiens GN=CUZD1 PE=2 SV=1
gene27456,LOC106909295,sp|Q99497|PARK7_HUMAN,76.92,52,12,0,6386,6541,138,189,3.00E-18,84.7,Protein deglycase DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2
gene27457,LOC106909299,sp|Q9HCM9|TRI39_HUMAN,33.53,167,91,8,2589,3053,338,496,2.00E-09,62,E3 ubiquitin-protein ligase TRIM39 OS=Homo sapiens GN=TRIM39 PE=1 SV=2
gene27458,LOC106909296,sp|P55083|MFAP4_HUMAN,55.38,65,24,1,1545,1724,111,175,3.00E-21,73.9,Microfibril-associated glycoprotein 4 OS=Homo sapiens GN=MFAP4 PE=1 SV=2
gene27459,asah2,sp|Q9NR71|ASAH2_HUMAN,51.11,90,18,2,6288,6557,338,401,1.00E-24,84.3,Neutral ceramidase OS=Homo sapiens GN=ASAH2 PE=1 SV=2
gene2746,smg6,sp|Q86US8|EST1A_HUMAN,45.06,253,79,13,2991,3683,402,616,1.00E-27,124,Telomerase-binding protein EST1A OS=Homo sapiens GN=SMG6 PE=1 SV=2
gene27460,LOC106909298,sp|O94988|FA13A_HUMAN,33.87,62,33,1,5261,5422,793,854,3.00E-07,45.8,Protein FAM13A OS=Homo sapiens GN=FAM13A PE=1 SV=2
gene27461,LOC106909301,sp|Q9P215|POGK_HUMAN,24.46,184,121,7,1037,1564,353,526,6.00E-04,43.1,Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2
gene27462,LOC106909300,sp|Q9C0H5|RHG39_HUMAN,47.17,494,183,17,1371,2693,198,666,4.00E-85,307,Rho GTPase-activating protein 39 OS=Homo sapiens GN=ARHGAP39 PE=1 SV=2
gene27463,LOC106909302,sp|Q13485|SMAD4_HUMAN,56.25,160,18,1,14435,14914,376,483,5.00E-58,131,Mothers against decapentaplegic homolog 4 OS=Homo sapiens GN=SMAD4 PE=1 SV=1
gene27465,LOC106909304,sp|P39687|AN32A_HUMAN,40,145,38,1,2934,3368,70,165,2.00E-30,107,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1
gene27466,LOC106909303,sp|Q53GL0|PKHO1_HUMAN,37.65,255,107,10,4306,4953,168,409,1.00E-20,96.7,Pleckstrin homology domain-containing family O member 1 OS=Homo sapiens GN=PLEKHO1 PE=1 SV=2
gene27467,LOC106909306,sp|Q53GL0|PKHO1_HUMAN,65,60,21,0,2688,2867,10,69,3.00E-18,88.2,Pleckstrin homology domain-containing family O member 1 OS=Homo sapiens GN=PLEKHO1 PE=1 SV=2
gene27468,LOC106909307,sp|Q8NBN7|RDH13_HUMAN,48.95,143,46,2,1770,2198,122,237,2.00E-35,97.8,Retinol dehydrogenase 13 OS=Homo sapiens GN=RDH13 PE=1 SV=2
gene27470,LOC106909308,sp|Q9UQB3|CTND2_HUMAN,68.24,85,14,1,1306,1560,929,1000,9.00E-24,112,Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=1 SV=3
gene27471,LOC106909311,sp|Q5XXA6|ANO1_HUMAN,65.28,72,25,0,8627,8842,527,598,4.00E-17,75.1,Anoctamin-1 OS=Homo sapiens GN=ANO1 PE=1 SV=1
gene27472,LOC106909310,sp|Q5XXA6|ANO1_HUMAN,80,55,11,0,38175,38339,366,420,7.00E-33,105,Anoctamin-1 OS=Homo sapiens GN=ANO1 PE=1 SV=1
gene27474,LOC106909317,sp|P61244|MAX_HUMAN,64.62,130,19,2,12370,12756,57,160,3.00E-31,122,Protein max OS=Homo sapiens GN=MAX PE=1 SV=1
gene27475,LOC106909315,sp|P59190|RAB15_HUMAN,83.33,42,7,0,115,240,1,42,5.00E-15,75.9,Ras-related protein Rab-15 OS=Homo sapiens GN=RAB15 PE=1 SV=1
gene27476,gpx2,sp|P18283|GPX2_HUMAN,72.41,116,32,0,1156,1503,74,189,7.00E-57,190,Glutathione peroxidase 2 OS=Homo sapiens GN=GPX2 PE=1 SV=3
gene27477,LOC106909313,sp|O43166|SI1L1_HUMAN,70,200,57,3,35811,36407,752,949,1.00E-76,287,Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens GN=SIPA1L1 PE=1 SV=4
gene27478,LOC106909318,sp|Q8WYP3|RIN2_HUMAN,57.69,78,32,1,15749,15982,614,690,3.00E-44,94,Ras and Rab interactor 2 OS=Homo sapiens GN=RIN2 PE=1 SV=1
gene2748,ovca2,sp|Q8WZ82|OVCA2_HUMAN,45.4,163,80,4,1984,2457,67,225,6.00E-29,115,Ovarian cancer-associated gene 2 protein OS=Homo sapiens GN=OVCA2 PE=1 SV=1
gene27480,aimp1,sp|Q12904|AIMP1_HUMAN,76.67,60,14,0,17872,18051,253,312,1.00E-23,105,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2
gene27482,LOC106909325,sp|Q9NXP7|GIN1_HUMAN,29.01,162,105,6,402,866,80,238,4.00E-10,63.2,Gypsy retrotransposon integrase-like protein 1 OS=Homo sapiens GN=GIN1 PE=2 SV=3
gene27484,LOC106909321,sp|O75093|SLIT1_HUMAN,37.33,75,44,2,3156,3377,509,581,1.00E-05,50.8,Slit homolog 1 protein OS=Homo sapiens GN=SLIT1 PE=2 SV=4
gene27485,LOC106909328,sp|Q16819|MEP1A_HUMAN,50,60,29,1,1453,1632,128,186,7.00E-12,69.7,Meprin A subunit alpha OS=Homo sapiens GN=MEP1A PE=1 SV=2
gene27486,LOC106909327,sp|Q6HA08|ASTL_HUMAN,34.56,136,51,3,2210,2611,114,213,1.00E-19,73.6,Astacin-like metalloendopeptidase OS=Homo sapiens GN=ASTL PE=1 SV=4
gene27488,LOC106909334,sp|P60880|SNP25_HUMAN,40.85,142,31,3,6528,6953,95,183,6.00E-21,93.6,Synaptosomal-associated protein 25 OS=Homo sapiens GN=SNAP25 PE=1 SV=1
gene2749,LOC106910882,sp|Q86UN2|R4RL1_HUMAN,44.33,282,133,6,95520,96341,153,418,2.00E-50,189,Reticulon-4 receptor-like 1 OS=Homo sapiens GN=RTN4RL1 PE=1 SV=1
gene27493,LOC106909330,sp|P51522|ZNF83_HUMAN,45.07,304,166,1,2598,3506,180,483,8.00E-77,264,Zinc finger protein 83 OS=Homo sapiens GN=ZNF83 PE=2 SV=3
gene27494,LOC106909329,sp|P51523|ZNF84_HUMAN,47.15,439,200,3,7441,8682,255,686,4.00E-116,387,Zinc finger protein 84 OS=Homo sapiens GN=ZNF84 PE=1 SV=2
gene27496,LOC106909335,sp|Q3ZCQ8|TIM50_HUMAN,55.26,38,17,0,1744,1857,58,95,7.00E-05,46.6,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2
gene27497,LOC106909340,sp|O00370|LORF2_HUMAN,31.78,321,205,7,6974,7906,345,661,6.00E-37,155,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1
gene27498,LOC106909342,sp|O00370|LORF2_HUMAN,31.78,321,205,7,477,1409,345,661,3.00E-39,155,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1
gene27499,LOC106909341,sp|Q86SJ6|DSG4_HUMAN,44,50,28,0,4618,4767,426,475,1.00E-14,53.1,Desmoglein-4 OS=Homo sapiens GN=DSG4 PE=1 SV=1
gene275,LOC106910607,sp|Q8N328|PGBD3_HUMAN,36.76,136,81,3,1395,1799,372,503,3.00E-15,79,PiggyBac transposable element-derived protein 3 OS=Homo sapiens GN=PGBD3 PE=2 SV=3
gene2750,LOC106910889,sp|P27694|RFA1_HUMAN,72.06,68,19,0,1,204,460,527,3.00E-26,117,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2
gene27500,LOC106909343,sp|P31483|TIA1_HUMAN,94.59,37,2,0,5163,5273,159,195,9.00E-24,78.2,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3
gene27502,rchy1,sp|Q96PM5|ZN363_HUMAN,76.92,39,9,0,2987,3103,71,109,6.00E-12,68.2,RING finger and CHY zinc finger domain-containing protein 1 OS=Homo sapiens GN=RCHY1 PE=1 SV=1
gene27504,LOC106909346,sp|O75096|LRP4_HUMAN,29.68,155,73,2,3484,3948,1476,1594,1.00E-29,95.5,Low-density lipoprotein receptor-related protein 4 OS=Homo sapiens GN=LRP4 PE=1 SV=4
gene27505,LOC106909348,sp|Q15796|SMAD2_HUMAN,83.56,73,12,0,3307,3525,101,173,2.00E-42,136,Mothers against decapentaplegic homolog 2 OS=Homo sapiens GN=SMAD2 PE=1 SV=1
gene27506,LOC106909350,sp|Q9UHM6|OPN4_HUMAN,76.6,47,11,0,9244,9384,96,142,2.00E-15,82,Melanopsin OS=Homo sapiens GN=OPN4 PE=1 SV=1
gene27508,park2,sp|O60260|PRKN2_HUMAN,63.49,63,21,1,6658,6840,311,373,2.00E-34,84.3,E3 ubiquitin-protein ligase parkin OS=Homo sapiens GN=PARK2 PE=1 SV=2
gene27509,LOC106909353,sp|Q96MX3|ZNF48_HUMAN,26.12,245,140,4,4616,5332,284,493,1.00E-10,48.5,Zinc finger protein 48 OS=Homo sapiens GN=ZNF48 PE=1 SV=2
gene2751,irx6,sp|P78412|IRX6_HUMAN,76.77,99,22,1,2694,2987,138,236,2.00E-43,164,Iroquois-class homeodomain protein IRX-6 OS=Homo sapiens GN=IRX6 PE=2 SV=3
gene27511,ncoa4,sp|Q13772|NCOA4_HUMAN,36.91,149,81,5,6075,6488,304,450,9.00E-18,89.7,Nuclear receptor coactivator 4 OS=Homo sapiens GN=NCOA4 PE=1 SV=1
gene27512,yipf3,sp|Q9GZM5|YIPF3_HUMAN,61.9,84,9,1,5131,5382,180,240,3.00E-34,105,Protein YIPF3 OS=Homo sapiens GN=YIPF3 PE=1 SV=1
gene27513,dnph1,sp|O43598|DNPH1_HUMAN,54.64,97,21,2,3556,3846,89,162,1.00E-22,92.4,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Homo sapiens GN=DNPH1 PE=1 SV=1
gene27515,sox14,sp|O95416|SOX14_HUMAN,89.92,238,21,2,774,1481,4,240,1.00E-133,397,Transcription factor SOX-14 OS=Homo sapiens GN=SOX14 PE=1 SV=1
gene27516,LOC106909361,sp|Q9NPA2|MMP25_HUMAN,66.1,59,20,0,8633,8809,223,281,2.00E-17,89.4,Matrix metalloproteinase-25 OS=Homo sapiens GN=MMP25 PE=1 SV=1
gene27518,LOC106909362,sp|Q86WN1|FCSD1_HUMAN,33.6,125,50,2,6116,6490,80,171,6.00E-09,62.4,F-BAR and double SH3 domains protein 1 OS=Homo sapiens GN=FCHSD1 PE=1 SV=1
gene27519,LOC106909364,sp|O00370|LORF2_HUMAN,31.21,157,101,4,5631,6089,416,569,1.00E-07,57,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1
gene27520,LOC106909366,sp|Q96JJ3|ELMO2_HUMAN,81.03,58,11,0,23,196,472,529,3.00E-73,98.6,Engulfment and cell motility protein 2 OS=Homo sapiens GN=ELMO2 PE=1 SV=2
gene27521,LOC106909365,sp|O75325|LRRN2_HUMAN,47.93,676,273,9,9156,11180,21,618,7.00E-160,514,Leucine-rich repeat neuronal protein 2 OS=Homo sapiens GN=LRRN2 PE=2 SV=2
gene27522,slc6a14,sp|Q9UN76|S6A14_HUMAN,52.58,97,21,1,6248,6538,357,428,3.00E-59,91.7,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) OS=Homo sapiens GN=SLC6A14 PE=2 SV=1
gene27523,LOC106909369,sp|Q06828|FMOD_HUMAN,45.09,173,68,1,5764,6282,231,376,1.00E-35,141,Fibromodulin OS=Homo sapiens GN=FMOD PE=1 SV=2
gene27524,mrps33,sp|Q9Y291|RT33_HUMAN,63.89,72,26,0,1176,1391,1,72,3.00E-27,105,"28S ribosomal protein S33, mitochondrial OS=Homo sapiens GN=MRPS33 PE=1 SV=1"
gene27525,cfap44,sp|Q96MT7|CFA44_HUMAN,57.53,73,31,0,6567,6785,226,298,3.00E-28,95.9,Cilia- and flagella-associated protein 44 OS=Homo sapiens GN=CFAP44 PE=1 SV=1
gene27526,pum3,sp|Q15397|K0020_HUMAN,53.85,78,36,0,2502,2735,227,304,3.00E-16,85.5,Pumilio domain-containing protein KIAA0020 OS=Homo sapiens GN=KIAA0020 PE=1 SV=3
gene27527,kcnv2,sp|Q8TDN2|KCNV2_HUMAN,67.06,85,28,0,7933,8187,447,531,2.00E-30,129,Potassium voltage-gated channel subfamily V member 2 OS=Homo sapiens GN=KCNV2 PE=1 SV=1
gene27528,LOC106909374,sp|P28223|5HT2A_HUMAN,53.45,333,113,7,22032,23030,177,467,1.00E-88,300,5-hydroxytryptamine receptor 2A OS=Homo sapiens GN=HTR2A PE=1 SV=2
gene2753,mmp2,sp|P08253|MMP2_HUMAN,58.59,128,23,4,6644,7027,394,491,2.00E-31,134,72 kDa type IV collagenase OS=Homo sapiens GN=MMP2 PE=1 SV=2
gene27530,nsmf,sp|Q6X4W1|NSMF_HUMAN,76.32,38,9,0,20977,21090,437,474,4.00E-11,70.1,NMDA receptor synaptonuclear signaling and neuronal migration factor OS=Homo sapiens GN=NSMF PE=1 SV=1
gene27531,LOC106909377,sp|O14795|UN13B_HUMAN,68.18,44,14,0,30506,30637,90,133,1.00E-12,76.6,Protein unc-13 homolog B OS=Homo sapiens GN=UNC13B PE=1 SV=2
gene27532,LOC106909379,sp|O60883|ETBR2_HUMAN,44.88,127,59,2,3988,4365,309,425,1.00E-22,103,Prosaposin receptor GPR37L1 OS=Homo sapiens GN=GPR37L1 PE=1 SV=2
gene27533,LOC106909382,sp|P16562|CRIS2_HUMAN,32.49,237,114,9,3481,4062,9,242,8.00E-19,89,Cysteine-rich secretory protein 2 OS=Homo sapiens GN=CRISP2 PE=1 SV=1
gene27534,LOC106909381,sp|P16562|CRIS2_HUMAN,32.49,237,114,9,8687,9268,9,242,7.00E-19,89,Cysteine-rich secretory protein 2 OS=Homo sapiens GN=CRISP2 PE=1 SV=1
gene27535,LOC106909380,sp|Q15256|PTPRR_HUMAN,61.82,55,21,0,31794,31958,450,504,1.00E-13,79.3,Receptor-type tyrosine-protein phosphatase R OS=Homo sapiens GN=PTPRR PE=1 SV=2
